"""Event""",,,,,,,,,,,,,,,,,
event_id,brand,parent_company,product_category,sku,product_name,price_usd,region,city,location_type,event_type,start_date,end_date,lease_length_days,avg_daily_footfall,units_sold,units_allocated,sell_through_pct
POP100507,Givenchy Beauty,LVMH,Eye Products,LE-6VLGOBDP,Givenchy Beauty Noir Eyeshadow Palette,67.69,Latin America,Buenos Aires,High-Street,Standalone Pop-Up,2024-04-04,2024-04-19,15,1240,2939,4826.736738,0.6089
POP100921,La Prairie,Beiersdorf,Eye Products,LE-XBK5QA4S,La Prairie Glow Mascara,42.61,North America,Miami,Department Store Atrium,Flash Event,2024-03-08,2024-04-06,29,921,2725,3202.867889,0.8508
POP101468,MAC Cosmetics,Estée Lauder Companies,Other,LE-AMSY19SB,MAC Cosmetics Noir Highlighter,77.8,Asia-Pacific,Seoul,Luxury Mall,Mobile Pop-Up Truck,2024-09-04,2024-12-02,89,974,2727,3506.042684,0.7778
POP100450,YSL Beauty,L’Oréal Group,Fragrances,LE-EX9VSIH6,YSL Beauty Mirage Fragrance,316.49,Middle East,Riyadh,Airport Duty-Free,Mall Kiosk,2024-05-07,2024-07-18,72,1258,2852,4700.840613,0.6067
POP101107,Chanel,Chanel Limited,Fragrances,LE-8YA56CT5,Chanel Éclat Fragrance,211.05,North America,Toronto,Luxury Mall,Standalone Pop-Up,2025-01-25,2025-04-23,88,2033,2870,3688.946015,0.778
POP101795,NARS,Estée Lauder Companies,Other,LE-JWFNJJSV,NARS Lumière Highlighter,78.02,Asia-Pacific,Shanghai,Art/Design District,Shop-in-Shop,2024-06-22,2024-07-08,16,1350,1637,2598.82521,0.6299
POP100196,Sisley-Paris,Sisley,Other,LE-386SS2FI,Sisley-Paris Glow Primer,48.69,Asia-Pacific,Seoul,High-Street,Shop-in-Shop,2025-02-10,2025-02-18,8,2199,389,482.9898187,0.8054
POP100109,Bobbi Brown,Estée Lauder Companies,Other,LE-K4E6KSXV,Bobbi Brown Glow Highlighter,51.55,Latin America,Lima,Art/Design District,Flash Event,2025-03-31,2025-06-07,68,621,3054,4779.342723,0.639
POP101316,Dior,LVMH,Lip Products,LE-UF2MHEQ3,Dior Lumière Lipstick,54.11,Latin America,,Luxury Mall,Mobile Pop-Up Truck,2024-07-18,2024-08-29,42,896,803,1235.955056,0.6497
POP101967,Sisley-Paris,Sisley,Face Products,LE-WTLTYMCW,Sisley-Paris Noir Foundation,119.54,Europe,,Airport Duty-Free,Mall Kiosk,2024-04-25,2024-05-24,29,1425,1104,2112.110197,0.5227
POP100298,Sisley-Paris,Sisley,Face Products,LE-3UBWPR86,Sisley-Paris Velvet Foundation,71.57,Europe,Milan,Airport Duty-Free,Mobile Pop-Up Truck,2024-03-10,2024-03-25,15,2168,2045,2777.023357,0.7364
POP100746,Armani Beauty,L’Oréal Group,Fragrances,LE-KE3UKZ0P,Armani Beauty Opulence Serum,232.34,Asia-Pacific,Seoul,High-Street,Mobile Pop-Up Truck,2025-04-10,2025-04-27,17,2573,3294,4610.216935,0.7145
POP100602,Hermès Beauty,Hermès International,Eye Products,LE-BC3YJ44I,Hermès Beauty Velvet Mascara,49.93,Latin America,São Paulo,High-Street,Standalone Pop-Up,2024-04-22,2024-05-18,26,2220,2173,4140.625,0.5248
POP100342,La Prairie,Beiersdorf,Lip Products,LE-1VMHOQLW,La Prairie Éclat Lipstick,39.38,North America,Miami,Luxury Mall,Flash Event,2024-04-06,2024-04-23,17,1606,743,1212.071778,0.613
POP101507,Clé de Peau Beauté,Shiseido Company Limited,Lip Products,LE-VOI6Y1PF,Clé de Peau Beauté Pearl Lipstick,41.09,Latin America,São Paulo,Airport Duty-Free,Mobile Pop-Up Truck,2025-04-06,2025-06-11,66,2007,1224,1224,1
POP101343,Hermès Beauty,Hermès International,Eye Products,LE-PT8EMZ2G,Hermès Beauty Opulence Eyeshadow Palette,115.29,Latin America,Bogotá,Art/Design District,Shop-in-Shop,2025-02-08,2025-02-22,14,874,678,1465.945946,0.4625
POP100111,Valentino Beauty,L’Oréal Group,Eye Products,LE-5GC15BFT,Valentino Beauty Éclat Eyeshadow Palette,149.86,Europe,Berlin,Airport Duty-Free,Shop-in-Shop,2024-10-03,2024-11-14,42,2219,118,264.9898945,0.4453
POP101833,Huda Beauty,Private,Face Products,LE-NO1K7GHO,Huda Beauty Éclat Setting Powder,83.66,Asia-Pacific,Seoul,High-Street,Shop-in-Shop,2025-04-06,2025-04-23,17,1456,885,1177.018221,0.7519
POP100792,Hermès Beauty,Hermès International,Face Products,LE-1K80FI4D,Hermès Beauty Noir Foundation,75.22,Europe,Milan,Airport Duty-Free,Shop-in-Shop,2025-04-27,2025-05-10,13,1493,1663,3445.917944,0.4826
POP100670,Chanel,Chanel Limited,Eye Products,LE-QHSLVGI2,Chanel Mirage Mascara,30.75,Latin America,Buenos Aires,Art/Design District,Mall Kiosk,2024-09-05,2024-11-18,74,718,704,1058.965102,0.6648
POP101841,NARS,Estée Lauder Companies,Other,LE-2NYM7JFC,NARS Rouge Highlighter,66.73,Asia-Pacific,Shanghai,Department Store Atrium,Standalone Pop-Up,2024-11-03,2024-12-20,47,1517,854,1291.005291,0.6615
POP100818,Chanel,Chanel Limited,Skincare,LE-DPH63DMG,Chanel Glow Serum,170.29,Asia-Pacific,Shanghai,Department Store Atrium,Flash Event,2024-07-04,2024-09-06,64,1605,2962,3253.157606,0.9105
POP101271,Rare Beauty,Private,Fragrances,LE-SQD56OOJ,Rare Beauty Satin Primer,66.23,North America,Toronto,Department Store Atrium,Shop-in-Shop,2024-06-03,2024-06-16,13,1234,2515,4102.773246,0.613
POP101786,Rare Beauty,Private,Fragrances,LE-J9NIXMML,Rare Beauty Velvet Highlighter,85.35,Europe,London,Art/Design District,Flash Event,2024-10-31,2024-12-25,55,1220,2725,3923.121221,0.6946
POP101910,Estée Lauder,Estée Lauder,Eye Products,LE-MF69APHM,Estée Lauder Opulence Eyeshadow Palette,105.04,North America,Chicago,Department Store Atrium,Shop-in-Shop,2024-03-31,2024-05-30,60,691,2296,4551.942902,0.5044
POP101481,Huda Beauty,Private,Fragrances,LE-LI3U40B5,Huda Beauty Éclat Primer,65.07,Asia-Pacific,Hong Kong,Airport Duty-Free,Standalone Pop-Up,2024-07-24,2024-10-19,87,1001,3761,4041.91295,0.9305
POP100306,Sisley-Paris,Sisley,Skincare,LE-46F6IFBF,Sisley-Paris Éclat Serum,279.14,Middle East,Jeddah,Department Store Atrium,Mall Kiosk,2025-07-18,2025-07-25,7,888,2551,4996.08304,0.5106
POP100367,YSL Beauty,L’Oréal Group,Fragrances,LE-82NRN3EV,YSL Beauty Pearl Blush,41.05,Europe,Madrid,Airport Duty-Free,Mobile Pop-Up Truck,2025-01-08,2025-01-14,6,785,2440,4123.71134,0.5917
POP100433,Valentino Beauty,L’Oréal Group,Fragrances,LE-TX6NH9N8,Valentino Beauty Satin Fragrance,236.65,Latin America,São Paulo,Department Store Atrium,Mall Kiosk,2025-01-01,2025-03-20,78,1466,2016,2814.070352,0.7164
POP100321,MAC Cosmetics,Estée Lauder Companies,Other,LE-UWU9ZFZE,MAC Cosmetics Glow Primer,59.63,Asia-Pacific,Singapore,Luxury Mall,Standalone Pop-Up,2025-04-18,2025-07-14,87,852,1836,2223.029422,0.8259
POP101333,Charlotte Tilbury,Puig,Skincare,LE-4LTAVIV9,Charlotte Tilbury Lumière Serum,84.34,Europe,Milan,Airport Duty-Free,Mobile Pop-Up Truck,2024-10-03,2024-11-10,38,1518,3254,3440.837475,0.9457
POP100582,Bobbi Brown,Estée Lauder Companies,Lip Products,LE-TBHTA4C9,Bobbi Brown Mirage Lipstick,37.48,Latin America,São Paulo,High-Street,Standalone Pop-Up,2025-06-15,2025-07-02,17,2426,2939,3971.084989,0.7401
POP101086,Clé de Peau Beauté,Shiseido Company Limited,Fragrances,LE-2S5MCAV9,Clé de Peau Beauté Noir Primer,37.99,Middle East,Doha,Department Store Atrium,Standalone Pop-Up,2024-09-19,,80,980,3427,4872.742784,0.7033
POP101674,Bobbi Brown,Estée Lauder Companies,Other,LE-TG82GBN5,Bobbi Brown Rouge Blush,48.2,North America,Chicago,Department Store Atrium,Shop-in-Shop,2024-02-27,2024-03-30,32,644,2547,3728.044496,0.6832
POP100464,Guerlain,LVMH,Eye Products,LE-C4LL95DQ,Guerlain Satin Mascara,61.69,North America,New York,Luxury Mall,Shop-in-Shop,2024-06-14,2024-07-06,22,1725,1619,2428.014397,0.6668
POP100471,Shiseido,Shiseido Company Limited,Eye Products,LE-T4BSKLWB,Shiseido Glow Mascara,73.49,Asia-Pacific,Singapore,Art/Design District,Flash Event,2024-02-23,2024-04-04,41,758,755,1051.971576,0.7177
POP101672,Bobbi Brown,Estée Lauder Companies,Fragrances,LE-G1QJUSJQ,Bobbi Brown Mirage Fragrance,339.9,Europe,Milan,Department Store Atrium,Shop-in-Shop,2024-10-10,2024-12-31,82,1715,1447,1878.001298,0.7705
POP101386,Tom Ford Beauty,Estée Lauder Companies,Face Products,LE-LYCUJZ0Q,Tom Ford Beauty Lumière Setting Powder,67.78,Asia-Pacific,Seoul,Department Store Atrium,Mobile Pop-Up Truck,2025-05-15,2025-06-10,26,1712,1291,2268.892794,0.569
POP101175,Armani Beauty,L’Oréal Group,Face Products,LE-M5YZ6FCC,Armani Beauty Rouge Setting Powder,49.28,North America,Miami,Art/Design District,Standalone Pop-Up,2024-08-21,2024-10-12,52,963,3316,4381.027877,0.7569
POP101486,Clé de Peau Beauté,Shiseido Company Limited,Face Products,LE-867B2HS5,Clé de Peau Beauté Noir Setting Powder,79.23,Asia-Pacific,Shanghai,Airport Duty-Free,Mobile Pop-Up Truck,2025-03-20,2025-04-17,28,1057,3420,3465.045593,0.987
POP100707,Pat McGrath Labs,Private,Skincare,LE-NL8HLI8K,Pat McGrath Labs Satin Serum,174.7,North America,Chicago,Art/Design District,Shop-in-Shop,2024-04-06,2024-04-13,7,1324,2201,4314.840227,0.5101
POP100307,Sisley-Paris,Sisley,Other,LE-Z9EETNGP,Sisley-Paris Mirage Blush,47.63,Asia-Pacific,Singapore,Art/Design District,Mall Kiosk,2024-07-16,2024-08-04,19,706,1752,2031.068862,0.8626
POP100420,NARS,Estée Lauder Companies,Other,LE-1V3EXMI8,NARS Pearl Highlighter,79.94,Latin America,Bogotá,Art/Design District,Flash Event,2025-01-28,2025-03-01,32,642,3251,3938.219261,0.8255
POP101263,Givenchy Beauty,LVMH,Face Products,LE-09689UTH,Givenchy Beauty Pearl Setting Powder,83.14,Middle East,Dubai,High-Street,Mall Kiosk,2024-08-21,2024-08-26,5,2506,1919,3367.257414,0.5699
POP100544,Estée Lauder,Estée Lauder,Lip Products,LE-KGY5TZYQ,Estée Lauder Lumière Lipstick,66.87,Asia-Pacific,Singapore,Luxury Mall,Mall Kiosk,2025-03-25,2025-06-12,79,1032,2865,4137.184116,0.6925
POP102099,Bobbi Brown,Estée Lauder Companies,Other,LE-V8ZQ4WY1,Bobbi Brown Rouge Primer,49.24,Asia-Pacific,Hong Kong,Department Store Atrium,Standalone Pop-Up,2024-10-11,2024-11-28,48,1151,4340,4525.075592,0.9591
POP101338,Hermès Beauty,Hermès International,Fragrances,LE-DQ9T86F0,Hermès Beauty Éclat Blush,42.73,Europe,London,High-Street,Shop-in-Shop,2024-03-11,2024-05-31,81,2521,1895,3846.934633,0.4926
POP101531,Estée Lauder,Estée Lauder,Fragrances,LE-DGE3JZQT,Estée Lauder Lumière Fragrance,142.88,Europe,Paris,High-Street,Flash Event,2025-02-11,2025-04-09,57,1814,1359,1394.990762,0.9742
POP100135,Dior,LVMH,Face Products,LE-3FVZGCD4,Dior Glow Foundation,60.92,Asia-Pacific,Shanghai,Department Store Atrium,Mall Kiosk,2025-05-08,2025-07-26,79,1533,2680,4531.619885,0.5914
POP101444,Fenty Beauty,LVMH,Fragrances,LE-VNQ5L8WX,Fenty Beauty Mirage Serum,86.35,North America,New York,Art/Design District,Mall Kiosk,2024-11-13,2024-11-18,5,939,844,844,1
POP100985,Shiseido,Shiseido Company Limited,Eye Products,LE-L39GKA0K,Shiseido Rouge Eyeshadow Palette,149,Middle East,Jeddah,Luxury Mall,Mall Kiosk,2024-05-31,2024-07-05,35,1340,1636,3432.647923,0.4766
POP100427,Hourglass,Unilever,Other,LE-NUABSBKG,Hourglass Noir Highlighter,74.37,Europe,London,Luxury Mall,Shop-in-Shop,2024-12-22,,57,1569,3706,4166.854059,0.8894
POP101637,Huda Beauty,Private,Eye Products,LE-6FACGJUK,Huda Beauty Glow Mascara,39.88,Asia-Pacific,Tokyo,Art/Design District,Standalone Pop-Up,2025-04-09,2025-05-17,38,1091,1301,1934.860202,0.6724
POP101442,Hourglass,Unilever,Other,LE-9IVYGOSS,Hourglass Éclat Highlighter,85.93,North America,New York,High-Street,Mall Kiosk,2024-08-02,2024-09-03,32,904,2270,4924.078091,0.461
POP100128,Givenchy Beauty,LVMH,Fragrances,LE-58LV9RJJ,Givenchy Beauty Lumière Fragrance,244.68,Asia-Pacific,Singapore,Luxury Mall,Mobile Pop-Up Truck,2024-04-04,2024-04-27,23,1930,1863,1927.972679,0.9663
POP100067,Sisley-Paris,Sisley,Eye Products,LE-CJCI7VK7,Sisley-Paris Velvet Eyeshadow Palette,50.23,Asia-Pacific,Hong Kong,High-Street,Flash Event,2024-11-12,2024-12-31,49,1270,680,1062.99828,0.6397
POP101555,Shiseido,Shiseido Company Limited,Face Products,LE-RA7QKJPL,Shiseido Satin Foundation,87.42,Asia-Pacific,Shanghai,Airport Duty-Free,Mall Kiosk,2024-06-18,2024-07-02,14,1916,2079,4404.661017,0.472
POP100184,Hourglass,Unilever,Other,LE-ZJ6YDROQ,Hourglass Rouge Highlighter,72.16,Latin America,São Paulo,Luxury Mall,Mall Kiosk,2025-07-09,2025-07-14,5,1241,1887,2554.141852,0.7388
POP101320,MAC Cosmetics,Estée Lauder Companies,Lip Products,LE-7P2PT0SQ,MAC Cosmetics Mirage Lipstick,49.62,Middle East,Doha,Luxury Mall,Standalone Pop-Up,2024-10-26,2024-12-19,54,1587,1064,1247.069855,0.8532
POP100838,Sisley-Paris,Sisley,Other,LE-CVALUD5B,Sisley-Paris Mirage Highlighter,61.24,Europe,Berlin,Airport Duty-Free,Standalone Pop-Up,2024-04-03,2024-06-28,86,781,846,1020.014468,0.8294
POP101838,Hourglass,Unilever,Eye Products,LE-FAV2HAAB,Hourglass Éclat Mascara,45.29,Europe,London,High-Street,Shop-in-Shop,2024-03-10,2024-05-05,56,3069,2401,2785.059738,0.8621
POP100029,Shiseido,Shiseido Company Limited,Face Products,LE-BP8L2C5V,Shiseido Glow Setting Powder,65.62,Europe,Paris,Department Store Atrium,Mall Kiosk,2024-03-26,2024-05-25,60,1682,2054,3834.23558,0.5357
POP101738,Givenchy Beauty,LVMH,Eye Products,LE-F99T66FO,Givenchy Beauty Pearl Eyeshadow Palette,67.48,Asia-Pacific,Tokyo,High-Street,Mall Kiosk,2024-10-24,2024-11-19,26,1456,1495,2255.92274,0.6627
POP100422,Sisley-Paris,Sisley,Other,LE-K66LZOKT,Sisley-Paris Lumière Highlighter,56.24,Latin America,Mexico City,Art/Design District,Flash Event,2024-09-24,2024-10-26,32,797,3132,4314.049587,0.726
POP100259,Pat McGrath Labs,Private,Eye Products,LE-SCRG3H99,Pat McGrath Labs Velvet Eyeshadow Palette,67.1,Asia-Pacific,Singapore,Art/Design District,Mobile Pop-Up Truck,2025-03-08,2025-03-23,15,875,2476,2911.913442,0.8503
POP102067,Pat McGrath Labs,Private,Eye Products,LE-PRN1GYBC,Pat McGrath Labs Lumière Eyeshadow Palette,129.51,Middle East,Abu Dhabi,High-Street,Mall Kiosk,2024-03-25,2024-06-11,78,1180,1786,2259.043764,0.7906
POP100764,Tom Ford Beauty,Estée Lauder Companies,Lip Products,LE-ZEAKQ1NR,Tom Ford Beauty Opulence Lipstick,36.44,Europe,Milan,High-Street,Shop-in-Shop,2025-05-21,2025-06-10,20,2190,2767,3000.108425,0.9223
POP100605,Bobbi Brown,Estée Lauder Companies,Other,LE-O8M1AZHM,Bobbi Brown Opulence Blush,53.08,Middle East,Doha,Airport Duty-Free,Mall Kiosk,2024-12-24,2025-03-07,73,2307,2794,3538.052425,0.7897
POP101874,Chanel,Chanel Limited,Other,LE-T1CZAZW1,Chanel Éclat Blush,49.92,North America,Toronto,High-Street,Flash Event,2024-04-02,2024-07-01,90,2991,2552,3973.839925,0.6422
POP100231,Sisley-Paris,Sisley,Fragrances,LE-Q7EQP1Y9,Sisley-Paris Rouge Fragrance,314.89,North America,Chicago,Department Store Atrium,Mall Kiosk,2024-03-10,2024-06-07,89,1613,1200,1419.950302,0.8451
POP101431,Hourglass,Unilever,Face Products,LE-G3X4NYMY,Hourglass Éclat Foundation,67.75,Middle East,Abu Dhabi,Department Store Atrium,Mobile Pop-Up Truck,2024-04-09,2024-04-25,16,743,3604,3892.008639,0.926
POP100649,Fenty Beauty,LVMH,Lip Products,LE-WAHH3W1W,Fenty Beauty Lumière Lipstick,75.85,Middle East,Abu Dhabi,High-Street,Flash Event,2025-04-05,2025-05-28,53,1971,896,937.0424597,0.9562
POP101425,Valentino Beauty,L’Oréal Group,Eye Products,LE-Q3DBT4JY,Valentino Beauty Lumière Eyeshadow Palette,85.1,Latin America,Mexico City,Art/Design District,Shop-in-Shop,2025-05-21,2025-05-25,4,835,3184,4534.966529,0.7021
POP101613,Bobbi Brown,Estée Lauder Companies,Face Products,LE-RAXQV3JI,Bobbi Brown Noir Foundation,82.85,North America,Chicago,Airport Duty-Free,Flash Event,2024-08-18,2024-10-15,58,1129,1715,2197.872613,0.7803
POP101055,YSL Beauty,L’Oréal Group,Fragrances,LE-S1SXAHFL,YSL Beauty Opulence Blush,30.69,North America,Chicago,Luxury Mall,Mall Kiosk,2024-05-11,2024-06-18,38,831,2176,3306.990881,0.658
POP100051,YSL Beauty,L’Oréal Group,Fragrances,LE-U0CARU64,YSL Beauty Pearl Primer,69.45,Latin America,Bogotá,Airport Duty-Free,Flash Event,2025-04-21,2025-06-27,67,1976,2324,2417.056682,0.9615
POP101692,Rare Beauty,Private,Fragrances,LE-LQIT6XIM,Rare Beauty Rouge Blush,46.64,Europe,,Luxury Mall,Flash Event,2025-02-27,2025-03-21,22,923,3888,4420.190996,0.8796
POP100426,Valentino Beauty,L’Oréal Group,Fragrances,LE-7MTNHK5B,Valentino Beauty Lumière Highlighter,79.2,Middle East,Doha,Art/Design District,Mobile Pop-Up Truck,2024-09-10,2024-10-10,30,647,4445,4806.964421,0.9247
POP100889,Bobbi Brown,Estée Lauder Companies,Face Products,LE-5DIP3IF3,Bobbi Brown Satin Foundation,57.88,Latin America,Bogotá,Airport Duty-Free,Mall Kiosk,2024-04-18,2024-04-27,9,2194,792,1044.992743,0.7579
POP100529,Dior,LVMH,Face Products,LE-JNOMXIS6,Dior Mirage Foundation,117.59,Latin America,Buenos Aires,High-Street,Mall Kiosk,2024-02-29,2024-05-25,86,1110,868,1051.993698,0.8251
POP101839,Fenty Beauty,LVMH,Face Products,LE-HZAKGO3T,Fenty Beauty Lumière Setting Powder,55.22,Europe,Milan,Department Store Atrium,Standalone Pop-Up,2024-10-08,2024-10-20,12,1298,2986,3594.991572,0.8306
POP100482,Chanel,Chanel Limited,Other,LE-5R9IF0IE,Chanel Mirage Highlighter,35.17,Middle East,Jeddah,Art/Design District,Mall Kiosk,2024-07-27,2024-09-17,52,704,2926,4584.051386,0.6383
POP100650,Fenty Beauty,LVMH,Fragrances,LE-94HLKO76,Fenty Beauty Velvet Primer,47.53,North America,New York,Department Store Atrium,Mobile Pop-Up Truck,2024-10-18,2024-12-26,69,1655,3488,3685.155837,0.9465
POP101233,Hermès Beauty,Hermès International,Fragrances,LE-YL5Z9JNG,Hermès Beauty Mirage Primer,62.25,Europe,Milan,High-Street,Mall Kiosk,2024-06-13,2024-07-25,42,2472,2238,2809.087486,0.7967
POP101087,MAC Cosmetics,Estée Lauder Companies,Face Products,LE-9I0TX3CX,MAC Cosmetics Noir Foundation,64.56,Latin America,São Paulo,High-Street,Standalone Pop-Up,2025-02-09,2025-03-28,47,1985,363,628.0276817,0.578
POP100324,YSL Beauty,L’Oréal Group,Fragrances,LE-HHL2RAG5,YSL Beauty Lumière Fragrance,232.83,Latin America,Bogotá,Department Store Atrium,Shop-in-Shop,2024-09-03,2024-09-22,19,940,382,888.9923202,0.4297
POP100668,Clé de Peau Beauté,Shiseido Company Limited,Eye Products,LE-OLP581S7,Clé de Peau Beauté Mirage Mascara,36.8,Asia-Pacific,Tokyo,Airport Duty-Free,Shop-in-Shop,2025-06-07,,51,1887,314,747.9752263,0.4198
POP100611,YSL Beauty,L’Oréal Group,Eye Products,LE-DVREC8A1,YSL Beauty Opulence Mascara,50.31,Asia-Pacific,Seoul,Airport Duty-Free,Mall Kiosk,2025-02-22,2025-04-09,46,1564,1646,1956.961122,0.8411
POP100409,Hourglass,Unilever,Face Products,LE-6DYPA1LO,Hourglass Velvet Setting Powder,74.73,Latin America,Bogotá,Department Store Atrium,Mall Kiosk,2024-07-10,2024-08-13,34,1297,720,1277.955272,0.5634
POP101889,Fenty Beauty,LVMH,Eye Products,LE-OIOLAT92,Fenty Beauty Glow Eyeshadow Palette,71.83,Europe,Milan,Art/Design District,Mall Kiosk,2024-11-29,2025-02-27,90,466,1703,3302.948022,0.5156
POP100915,Valentino Beauty,L’Oréal Group,Fragrances,LE-17VW6S8B,Valentino Beauty Velvet Highlighter,81.46,Europe,Paris,Luxury Mall,Shop-in-Shop,2024-06-03,2024-07-12,39,672,441,477.0146025,0.9245
POP100756,Shiseido,Shiseido Company Limited,Other,LE-0SP0LUXE,Shiseido Opulence Blush,67.72,Asia-Pacific,Tokyo,Airport Duty-Free,Shop-in-Shop,2024-10-30,2024-12-28,59,1113,101,208.9799297,0.4833
POP101982,YSL Beauty,L’Oréal Group,Face Products,LE-0Z7E8ESO,YSL Beauty Satin Setting Powder,58.97,Middle East,Jeddah,Luxury Mall,Shop-in-Shop,2025-03-29,2025-04-22,24,1130,1565,2288.011696,0.684
POP100485,Armani Beauty,L’Oréal Group,Fragrances,LE-NC1GE53L,Armani Beauty Noir Fragrance,274.59,North America,Miami,Art/Design District,Mobile Pop-Up Truck,2024-08-24,2024-08-28,4,1102,1270,1291.963377,0.983
POP100254,La Prairie,Beiersdorf,Face Products,LE-WOX779RR,La Prairie Éclat Foundation,104.76,Latin America,Lima,Art/Design District,Mall Kiosk,2025-02-04,2025-04-17,72,718,1777,2814.826548,0.6313
POP100530,Charlotte Tilbury,Puig,Other,LE-QOD7DUV7,Charlotte Tilbury Noir Highlighter,43.65,North America,Chicago,Luxury Mall,Mobile Pop-Up Truck,2025-01-02,2025-03-02,59,900,1912,2069.936126,0.9237
POP102012,Armani Beauty,L’Oréal Group,Fragrances,LE-2VBOKYQI,Armani Beauty Velvet Blush,38.64,Latin America,Lima,Airport Duty-Free,Mall Kiosk,2024-06-22,2024-07-30,38,1833,2946,3148.10857,0.9358
POP101331,Valentino Beauty,L’Oréal Group,Fragrances,LE-A6XS71ZV,Valentino Beauty Satin Blush,61.95,Latin America,Mexico City,Airport Duty-Free,Standalone Pop-Up,2025-02-25,2025-05-03,67,870,2567,4619.398956,0.5557
POP102015,MAC Cosmetics,Estée Lauder Companies,Skincare,LE-TIXM2CG5,MAC Cosmetics Velvet Serum,111.69,Middle East,Doha,Airport Duty-Free,Standalone Pop-Up,2024-06-05,2024-06-17,12,1738,744,1185.090793,0.6278
POP100251,Pat McGrath Labs,Private,Other,LE-7KIK30IW,Pat McGrath Labs Mirage Primer,52.46,North America,Los Angeles,Airport Duty-Free,Standalone Pop-Up,2024-05-25,2024-06-26,32,2020,967,1052.001741,0.9192
POP101805,Huda Beauty,Private,Fragrances,LE-76JQQVW7,Huda Beauty Mirage Primer,65.48,Europe,London,Airport Duty-Free,Standalone Pop-Up,2025-03-18,2025-05-28,71,2266,898,1145.992853,0.7836
POP100408,Dior,LVMH,Lip Products,LE-N55VSLT5,Dior Éclat Lipstick,52.63,Europe,Berlin,Airport Duty-Free,Flash Event,2025-04-23,2025-07-17,85,2126,3834,3834,1
POP100211,Pat McGrath Labs,Private,Lip Products,LE-ZOYAQIUB,Pat McGrath Labs Mirage Lipstick,55.78,Latin America,São Paulo,Art/Design District,Standalone Pop-Up,2024-11-07,2024-12-31,54,807,1811,2486.954133,0.7282
POP100240,NARS,Estée Lauder Companies,Lip Products,LE-26ZJG1FK,NARS Lumière Lipstick,36.29,Asia-Pacific,Hong Kong,Luxury Mall,Standalone Pop-Up,2024-03-24,2024-04-28,35,1860,338,444.9710374,0.7596
