event_id,brand,region,city,location_type,event_type,start_date,end_date,lease_length_days,sku,product_name,price_usd,avg_daily_footfall,units_sold,sell_through_pct
POP101468,MAC Cosmetics,Asia-Pacific,Seoul,Luxury Mall,Mobile Pop-Up Truck,2024-09-04,2024-12-02,89,LE-AMSY19SB,MAC Cosmetics Noir Highlighter,77.8,974,2727,77.78
POP100450,YSL Beauty,Middle East,Riyadh,Airport Duty-Free,Mall Kiosk,2024-05-07,2024-07-18,72,LE-EX9VSIH6,YSL Beauty Mirage Fragrance,316.49,1258,2852,60.67
POP101107,Chanel,North America,Toronto,Luxury Mall,Standalone Pop-Up,2025-01-25,2025-04-23,88,LE-8YA56CT5,Chanel Éclat Fragrance,211.05,2033,2870,77.8
POP101795,NARS,Asia-Pacific,Shanghai,Art/Design District,Shop-in-Shop,2024-06-22,2024-07-08,16,LE-JWFNJJSV,NARS Lumière Highlighter,78.02,1350,1637,62.99
POP100196,Sisley-Paris,Asia-Pacific,Seoul,High-Street,Shop-in-Shop,2025-02-10,2025-02-18,8,LE-386SS2FI,Sisley-Paris Glow Primer,48.69,2199,389,80.54
POP100109,Bobbi Brown,Latin America,Lima,Art/Design District,Flash Event,2025-03-31,2025-06-07,68,LE-K4E6KSXV,Bobbi Brown Glow Highlighter,51.55,621,3054,63.9
POP101316,Dior,Latin America,,Luxury Mall,Mobile Pop-Up Truck,2024-07-18,2024-08-29,42,LE-UF2MHEQ3,Dior Lumière Lipstick,54.11,896,803,64.97
POP101967,Sisley-Paris,Europe,,Airport Duty-Free,Mall Kiosk,2024-04-25,2024-05-24,29,LE-WTLTYMCW,Sisley-Paris Noir Foundation,119.54,1425,1104,52.27
POP100298,Sisley-Paris,Europe,Milan,Airport Duty-Free,Mobile Pop-Up Truck,2024-03-10,2024-03-25,15,LE-3UBWPR86,Sisley-Paris Velvet Foundation,71.57,2168,2045,73.64
POP100746,Armani Beauty,Asia-Pacific,Seoul,High-Street,Mobile Pop-Up Truck,2025-04-10,2025-04-27,17,LE-KE3UKZ0P,Armani Beauty Opulence Serum,232.34,2573,3294,71.45
POP100602,Hermès Beauty,Latin America,São Paulo,High-Street,Standalone Pop-Up,2024-04-22,2024-05-18,26,LE-BC3YJ44I,Hermès Beauty Velvet Mascara,49.93,2220,2173,52.48
POP100342,La Prairie,North America,Miami,Luxury Mall,Flash Event,2024-04-06,2024-04-23,17,LE-1VMHOQLW,La Prairie Éclat Lipstick,39.38,1606,743,61.3
POP101507,Clé de Peau Beauté,Latin America,São Paulo,Airport Duty-Free,Mobile Pop-Up Truck,2025-04-06,2025-06-11,66,LE-VOI6Y1PF,Clé de Peau Beauté Pearl Lipstick,41.09,2007,1224,100.0
POP101343,Hermès Beauty,Latin America,Bogotá,Art/Design District,Shop-in-Shop,2025-02-08,2025-02-22,14,LE-PT8EMZ2G,Hermès Beauty Opulence Eyeshadow Palette,115.29,874,678,46.25
POP100111,Valentino Beauty,Europe,Berlin,Airport Duty-Free,Shop-in-Shop,2024-10-03,2024-11-14,42,LE-5GC15BFT,Valentino Beauty Éclat Eyeshadow Palette,149.86,2219,118,44.53
POP101833,Huda Beauty,Asia-Pacific,Seoul,High-Street,Shop-in-Shop,2025-04-06,2025-04-23,17,LE-NO1K7GHO,Huda Beauty Éclat Setting Powder,83.66,1456,885,75.19
POP100792,Hermès Beauty,Europe,Milan,Airport Duty-Free,Shop-in-Shop,2025-04-27,2025-05-10,13,LE-1K80FI4D,Hermès Beauty Noir Foundation,75.22,1493,1663,48.26
POP100670,Chanel,Latin America,Buenos Aires,Art/Design District,Mall Kiosk,2024-09-05,2024-11-18,74,LE-QHSLVGI2,Chanel Mirage Mascara,30.75,718,704,66.48
POP101841,NARS,Asia-Pacific,Shanghai,Department Store Atrium,Standalone Pop-Up,2024-11-03,2024-12-20,47,LE-2NYM7JFC,NARS Rouge Highlighter,66.73,1517,854,66.15
POP100818,Chanel,Asia-Pacific,Shanghai,Department Store Atrium,Flash Event,2024-07-04,2024-09-06,64,LE-DPH63DMG,Chanel Glow Serum,170.29,1605,2962,91.05
POP101271,Rare Beauty,North America,Toronto,Department Store Atrium,Shop-in-Shop,2024-06-03,2024-06-16,13,LE-SQD56OOJ,Rare Beauty Satin Primer,66.23,1234,2515,61.3
POP101786,Rare Beauty,Europe,London,Art/Design District,Flash Event,2024-10-31,2024-12-25,55,LE-J9NIXMML,Rare Beauty Velvet Highlighter,85.35,1220,2725,69.46
POP101910,Estée Lauder,North America,Chicago,Department Store Atrium,Shop-in-Shop,2024-03-31,2024-05-30,60,LE-MF69APHM,Estée Lauder Opulence Eyeshadow Palette,105.04,691,2296,50.44
POP101481,Huda Beauty,Asia-Pacific,Hong Kong,Airport Duty-Free,Standalone Pop-Up,2024-07-24,2024-10-19,87,LE-LI3U40B5,Huda Beauty Éclat Primer,65.07,1001,3761,93.05
POP100306,Sisley-Paris,Middle East,Jeddah,Department Store Atrium,Mall Kiosk,2025-07-18,2025-07-25,7,LE-46F6IFBF,Sisley-Paris Éclat Serum,279.14,888,2551,51.06
POP100367,YSL Beauty,Europe,Madrid,Airport Duty-Free,Mobile Pop-Up Truck,2025-01-08,2025-01-14,6,LE-82NRN3EV,YSL Beauty Pearl Blush,41.05,785,2440,59.17
POP100433,Valentino Beauty,Latin America,São Paulo,Department Store Atrium,Mall Kiosk,2025-01-01,2025-03-20,78,LE-TX6NH9N8,Valentino Beauty Satin Fragrance,236.65,1466,2016,71.64
POP100321,MAC Cosmetics,Asia-Pacific,Singapore,Luxury Mall,Standalone Pop-Up,2025-04-18,2025-07-14,87,LE-UWU9ZFZE,MAC Cosmetics Glow Primer,59.63,852,1836,82.59
POP101333,Charlotte Tilbury,Europe,Milan,Airport Duty-Free,Mobile Pop-Up Truck,2024-10-03,2024-11-10,38,LE-4LTAVIV9,Charlotte Tilbury Lumière Serum,84.34,1518,3254,94.57
POP100582,Bobbi Brown,Latin America,São Paulo,High-Street,Standalone Pop-Up,2025-06-15,2025-07-02,17,LE-TBHTA4C9,Bobbi Brown Mirage Lipstick,37.48,2426,2939,74.01
POP101086,Clé de Peau Beauté,Middle East,Doha,Department Store Atrium,Standalone Pop-Up,2024-09-19,,80,LE-2S5MCAV9,Clé de Peau Beauté Noir Primer,37.99,980,3427,70.33
POP101674,Bobbi Brown,North America,Chicago,Department Store Atrium,Shop-in-Shop,2024-02-27,2024-03-30,32,LE-TG82GBN5,Bobbi Brown Rouge Blush,48.2,644,2547,68.32
POP100464,Guerlain,North America,New York,Luxury Mall,Shop-in-Shop,2024-06-14,2024-07-06,22,LE-C4LL95DQ,Guerlain Satin Mascara,61.69,1725,1619,66.68
POP100471,Shiseido,Asia-Pacific,Singapore,Art/Design District,Flash Event,2024-02-23,2024-04-04,41,LE-T4BSKLWB,Shiseido Glow Mascara,73.49,758,755,71.77
POP101672,Bobbi Brown,Europe,Milan,Department Store Atrium,Shop-in-Shop,2024-10-10,2024-12-31,82,LE-G1QJUSJQ,Bobbi Brown Mirage Fragrance,339.9,1715,1447,77.05
POP101386,Tom Ford Beauty,Asia-Pacific,Seoul,Department Store Atrium,Mobile Pop-Up Truck,2025-05-15,2025-06-10,26,LE-LYCUJZ0Q,Tom Ford Beauty Lumière Setting Powder,67.78,1712,1291,56.9
POP101175,Armani Beauty,North America,Miami,Art/Design District,Standalone Pop-Up,2024-08-21,2024-10-12,52,LE-M5YZ6FCC,Armani Beauty Rouge Setting Powder,49.28,963,3316,75.69
POP101486,Clé de Peau Beauté,Asia-Pacific,Shanghai,Airport Duty-Free,Mobile Pop-Up Truck,2025-03-20,2025-04-17,28,LE-867B2HS5,Clé de Peau Beauté Noir Setting Powder,79.23,1057,3420,98.7
POP100707,Pat McGrath Labs,North America,Chicago,Art/Design District,Shop-in-Shop,2024-04-06,2024-04-13,7,LE-NL8HLI8K,Pat McGrath Labs Satin Serum,174.7,1324,2201,51.01
POP100307,Sisley-Paris,Asia-Pacific,Singapore,Art/Design District,Mall Kiosk,2024-07-16,2024-08-04,19,LE-Z9EETNGP,Sisley-Paris Mirage Blush,47.63,706,1752,86.26
POP100420,NARS,Latin America,Bogotá,Art/Design District,Flash Event,2025-01-28,2025-03-01,32,LE-1V3EXMI8,NARS Pearl Highlighter,79.94,642,3251,82.55
POP101263,Givenchy Beauty,Middle East,Dubai,High-Street,Mall Kiosk,2024-08-21,2024-08-26,5,LE-09689UTH,Givenchy Beauty Pearl Setting Powder,83.14,2506,1919,56.99
POP100544,Estée Lauder,Asia-Pacific,Singapore,Luxury Mall,Mall Kiosk,2025-03-25,2025-06-12,79,LE-KGY5TZYQ,Estée Lauder Lumière Lipstick,66.87,1032,2865,69.25
POP102099,Bobbi Brown,Asia-Pacific,Hong Kong,Department Store Atrium,Standalone Pop-Up,2024-10-11,2024-11-28,48,LE-V8ZQ4WY1,Bobbi Brown Rouge Primer,49.24,1151,4340,95.91
POP101338,Hermès Beauty,Europe,London,High-Street,Shop-in-Shop,2024-03-11,2024-05-31,81,LE-DQ9T86F0,Hermès Beauty Éclat Blush,42.73,2521,1895,49.26
POP101531,Estée Lauder,Europe,Paris,High-Street,Flash Event,2025-02-11,2025-04-09,57,LE-DGE3JZQT,Estée Lauder Lumière Fragrance,142.88,1814,1359,97.42
POP100135,Dior,Asia-Pacific,Shanghai,Department Store Atrium,Mall Kiosk,2025-05-08,2025-07-26,79,LE-3FVZGCD4,Dior Glow Foundation,60.92,1533,2680,59.14
POP101444,Fenty Beauty,North America,New York,Art/Design District,Mall Kiosk,2024-11-13,2024-11-18,5,LE-VNQ5L8WX,Fenty Beauty Mirage Serum,86.35,939,844,100.0
POP100985,Shiseido,Middle East,Jeddah,Luxury Mall,Mall Kiosk,2024-05-31,2024-07-05,35,LE-L39GKA0K,Shiseido Rouge Eyeshadow Palette,149.0,1340,1636,47.66
POP100427,Hourglass,Europe,London,Luxury Mall,Shop-in-Shop,2024-12-22,,57,LE-NUABSBKG,Hourglass Noir Highlighter,74.37,1569,3706,88.94
POP101637,Huda Beauty,Asia-Pacific,Tokyo,Art/Design District,Standalone Pop-Up,2025-04-09,2025-05-17,38,LE-6FACGJUK,Huda Beauty Glow Mascara,39.88,1091,1301,67.24
POP101442,Hourglass,North America,New York,High-Street,Mall Kiosk,2024-08-02,2024-09-03,32,LE-9IVYGOSS,Hourglass Éclat Highlighter,85.93,904,2270,46.1
POP100128,Givenchy Beauty,Asia-Pacific,Singapore,Luxury Mall,Mobile Pop-Up Truck,2024-04-04,2024-04-27,23,LE-58LV9RJJ,Givenchy Beauty Lumière Fragrance,244.68,1930,1863,96.63
POP100067,Sisley-Paris,Asia-Pacific,Hong Kong,High-Street,Flash Event,2024-11-12,2024-12-31,49,LE-CJCI7VK7,Sisley-Paris Velvet Eyeshadow Palette,50.23,1270,680,63.97
POP101555,Shiseido,Asia-Pacific,Shanghai,Airport Duty-Free,Mall Kiosk,2024-06-18,2024-07-02,14,LE-RA7QKJPL,Shiseido Satin Foundation,87.42,1916,2079,47.2
POP100184,Hourglass,Latin America,São Paulo,Luxury Mall,Mall Kiosk,2025-07-09,2025-07-14,5,LE-ZJ6YDROQ,Hourglass Rouge Highlighter,72.16,1241,1887,73.88
POP101320,MAC Cosmetics,Middle East,Doha,Luxury Mall,Standalone Pop-Up,2024-10-26,2024-12-19,54,LE-7P2PT0SQ,MAC Cosmetics Mirage Lipstick,49.62,1587,1064,85.32
POP100838,Sisley-Paris,Europe,Berlin,Airport Duty-Free,Standalone Pop-Up,2024-04-03,2024-06-28,86,LE-CVALUD5B,Sisley-Paris Mirage Highlighter,61.24,781,846,82.94
POP101838,Hourglass,Europe,London,High-Street,Shop-in-Shop,2024-03-10,2024-05-05,56,LE-FAV2HAAB,Hourglass Éclat Mascara,45.29,3069,2401,86.21
POP100029,Shiseido,Europe,Paris,Department Store Atrium,Mall Kiosk,2024-03-26,2024-05-25,60,LE-BP8L2C5V,Shiseido Glow Setting Powder,65.62,1682,2054,53.57
POP101738,Givenchy Beauty,Asia-Pacific,Tokyo,High-Street,Mall Kiosk,2024-10-24,2024-11-19,26,LE-F99T66FO,Givenchy Beauty Pearl Eyeshadow Palette,67.48,1456,1495,66.27
POP100422,Sisley-Paris,Latin America,Mexico City,Art/Design District,Flash Event,2024-09-24,2024-10-26,32,LE-K66LZOKT,Sisley-Paris Lumière Highlighter,56.24,797,3132,72.6
POP100259,Pat McGrath Labs,Asia-Pacific,Singapore,Art/Design District,Mobile Pop-Up Truck,2025-03-08,2025-03-23,15,LE-SCRG3H99,Pat McGrath Labs Velvet Eyeshadow Palette,67.1,875,2476,85.03
POP102067,Pat McGrath Labs,Middle East,Abu Dhabi,High-Street,Mall Kiosk,2024-03-25,2024-06-11,78,LE-PRN1GYBC,Pat McGrath Labs Lumière Eyeshadow Palette,129.51,1180,1786,79.06
POP100764,Tom Ford Beauty,Europe,Milan,High-Street,Shop-in-Shop,2025-05-21,2025-06-10,20,LE-ZEAKQ1NR,Tom Ford Beauty Opulence Lipstick,36.44,2190,2767,92.23
POP100605,Bobbi Brown,Middle East,Doha,Airport Duty-Free,Mall Kiosk,2024-12-24,2025-03-07,73,LE-O8M1AZHM,Bobbi Brown Opulence Blush,53.08,2307,2794,78.97
POP101874,Chanel,North America,Toronto,High-Street,Flash Event,2024-04-02,2024-07-01,90,LE-T1CZAZW1,Chanel Éclat Blush,49.92,2991,2552,64.22
POP100231,Sisley-Paris,North America,Chicago,Department Store Atrium,Mall Kiosk,2024-03-10,2024-06-07,89,LE-Q7EQP1Y9,Sisley-Paris Rouge Fragrance,314.89,1613,1200,84.51
POP101431,Hourglass,Middle East,Abu Dhabi,Department Store Atrium,Mobile Pop-Up Truck,2024-04-09,2024-04-25,16,LE-G3X4NYMY,Hourglass Éclat Foundation,67.75,743,3604,92.6
POP100649,Fenty Beauty,Middle East,Abu Dhabi,High-Street,Flash Event,2025-04-05,2025-05-28,53,LE-WAHH3W1W,Fenty Beauty Lumière Lipstick,75.85,1971,896,95.62
POP101425,Valentino Beauty,Latin America,Mexico City,Art/Design District,Shop-in-Shop,2025-05-21,2025-05-25,4,LE-Q3DBT4JY,Valentino Beauty Lumière Eyeshadow Palette,85.1,835,3184,70.21
POP101613,Bobbi Brown,North America,Chicago,Airport Duty-Free,Flash Event,2024-08-18,2024-10-15,58,LE-RAXQV3JI,Bobbi Brown Noir Foundation,82.85,1129,1715,78.03
POP101055,YSL Beauty,North America,Chicago,Luxury Mall,Mall Kiosk,2024-05-11,2024-06-18,38,LE-S1SXAHFL,YSL Beauty Opulence Blush,30.69,831,2176,65.8
POP100051,YSL Beauty,Latin America,Bogotá,Airport Duty-Free,Flash Event,2025-04-21,2025-06-27,67,LE-U0CARU64,YSL Beauty Pearl Primer,69.45,1976,2324,96.15
POP101692,Rare Beauty,Europe,,Luxury Mall,Flash Event,2025-02-27,2025-03-21,22,LE-LQIT6XIM,Rare Beauty Rouge Blush,46.64,923,3888,87.96
POP100426,Valentino Beauty,Middle East,Doha,Art/Design District,Mobile Pop-Up Truck,2024-09-10,2024-10-10,30,LE-7MTNHK5B,Valentino Beauty Lumière Highlighter,79.2,647,4445,92.47
POP100889,Bobbi Brown,Latin America,Bogotá,Airport Duty-Free,Mall Kiosk,2024-04-18,2024-04-27,9,LE-5DIP3IF3,Bobbi Brown Satin Foundation,57.88,2194,792,75.79
POP100529,Dior,Latin America,Buenos Aires,High-Street,Mall Kiosk,2024-02-29,2024-05-25,86,LE-JNOMXIS6,Dior Mirage Foundation,117.59,1110,868,82.51
POP101839,Fenty Beauty,Europe,Milan,Department Store Atrium,Standalone Pop-Up,2024-10-08,2024-10-20,12,LE-HZAKGO3T,Fenty Beauty Lumière Setting Powder,55.22,1298,2986,83.06
POP100482,Chanel,Middle East,Jeddah,Art/Design District,Mall Kiosk,2024-07-27,2024-09-17,52,LE-5R9IF0IE,Chanel Mirage Highlighter,35.17,704,2926,63.83
POP100650,Fenty Beauty,North America,New York,Department Store Atrium,Mobile Pop-Up Truck,2024-10-18,2024-12-26,69,LE-94HLKO76,Fenty Beauty Velvet Primer,47.53,1655,3488,94.65
POP101233,Hermès Beauty,Europe,Milan,High-Street,Mall Kiosk,2024-06-13,2024-07-25,42,LE-YL5Z9JNG,Hermès Beauty Mirage Primer,62.25,2472,2238,79.67
POP101087,MAC Cosmetics,Latin America,São Paulo,High-Street,Standalone Pop-Up,2025-02-09,2025-03-28,47,LE-9I0TX3CX,MAC Cosmetics Noir Foundation,64.56,1985,363,57.8
POP100324,YSL Beauty,Latin America,Bogotá,Department Store Atrium,Shop-in-Shop,2024-09-03,2024-09-22,19,LE-HHL2RAG5,YSL Beauty Lumière Fragrance,232.83,940,382,42.97
POP100668,Clé de Peau Beauté,Asia-Pacific,Tokyo,Airport Duty-Free,Shop-in-Shop,2025-06-07,,51,LE-OLP581S7,Clé de Peau Beauté Mirage Mascara,36.8,1887,314,41.98
POP100611,YSL Beauty,Asia-Pacific,Seoul,Airport Duty-Free,Mall Kiosk,2025-02-22,2025-04-09,46,LE-DVREC8A1,YSL Beauty Opulence Mascara,50.31,1564,1646,84.11
POP100409,Hourglass,Latin America,Bogotá,Department Store Atrium,Mall Kiosk,2024-07-10,2024-08-13,34,LE-6DYPA1LO,Hourglass Velvet Setting Powder,74.73,1297,720,56.34
POP101889,Fenty Beauty,Europe,Milan,Art/Design District,Mall Kiosk,2024-11-29,2025-02-27,90,LE-OIOLAT92,Fenty Beauty Glow Eyeshadow Palette,71.83,466,1703,51.56
POP100915,Valentino Beauty,Europe,Paris,Luxury Mall,Shop-in-Shop,2024-06-03,2024-07-12,39,LE-17VW6S8B,Valentino Beauty Velvet Highlighter,81.46,672,441,92.45
POP100756,Shiseido,Asia-Pacific,Tokyo,Airport Duty-Free,Shop-in-Shop,2024-10-30,2024-12-28,59,LE-0SP0LUXE,Shiseido Opulence Blush,67.72,1113,101,48.33
POP101982,YSL Beauty,Middle East,Jeddah,Luxury Mall,Shop-in-Shop,2025-03-29,2025-04-22,24,LE-0Z7E8ESO,YSL Beauty Satin Setting Powder,58.97,1130,1565,68.4
POP100485,Armani Beauty,North America,Miami,Art/Design District,Mobile Pop-Up Truck,2024-08-24,2024-08-28,4,LE-NC1GE53L,Armani Beauty Noir Fragrance,274.59,1102,1270,98.3
POP100254,La Prairie,Latin America,Lima,Art/Design District,Mall Kiosk,2025-02-04,2025-04-17,72,LE-WOX779RR,La Prairie Éclat Foundation,104.76,718,1777,63.13
POP100530,Charlotte Tilbury,North America,Chicago,Luxury Mall,Mobile Pop-Up Truck,2025-01-02,2025-03-02,59,LE-QOD7DUV7,Charlotte Tilbury Noir Highlighter,43.65,900,1912,92.37
POP102012,Armani Beauty,Latin America,Lima,Airport Duty-Free,Mall Kiosk,2024-06-22,2024-07-30,38,LE-2VBOKYQI,Armani Beauty Velvet Blush,38.64,1833,2946,93.58
POP101331,Valentino Beauty,Latin America,Mexico City,Airport Duty-Free,Standalone Pop-Up,2025-02-25,2025-05-03,67,LE-A6XS71ZV,Valentino Beauty Satin Blush,61.95,870,2567,55.57
POP102015,MAC Cosmetics,Middle East,Doha,Airport Duty-Free,Standalone Pop-Up,2024-06-05,2024-06-17,12,LE-TIXM2CG5,MAC Cosmetics Velvet Serum,111.69,1738,744,62.78
POP100251,Pat McGrath Labs,North America,Los Angeles,Airport Duty-Free,Standalone Pop-Up,2024-05-25,2024-06-26,32,LE-7KIK30IW,Pat McGrath Labs Mirage Primer,52.46,2020,967,91.92
POP101805,Huda Beauty,Europe,London,Airport Duty-Free,Standalone Pop-Up,2025-03-18,2025-05-28,71,LE-76JQQVW7,Huda Beauty Mirage Primer,65.48,2266,898,78.36
POP100408,Dior,Europe,Berlin,Airport Duty-Free,Flash Event,2025-04-23,2025-07-17,85,LE-N55VSLT5,Dior Éclat Lipstick,52.63,2126,3834,100.0
POP100211,Pat McGrath Labs,Latin America,São Paulo,Art/Design District,Standalone Pop-Up,2024-11-07,2024-12-31,54,LE-ZOYAQIUB,Pat McGrath Labs Mirage Lipstick,55.78,807,1811,72.82
POP100240,NARS,Asia-Pacific,Hong Kong,Luxury Mall,Standalone Pop-Up,2024-03-24,2024-04-28,35,LE-26ZJG1FK,NARS Lumière Lipstick,36.29,1860,338,75.96
POP100100,Shiseido,Europe,Berlin,Department Store Atrium,Mobile Pop-Up Truck,2024-07-03,2024-08-21,49,LE-863PTTE9,Shiseido Velvet Fragrance,231.73,1794,999,100.0
POP101547,Givenchy Beauty,North America,Los Angeles,Art/Design District,Shop-in-Shop,2024-04-29,2024-07-09,71,LE-V566VABJ,Givenchy Beauty Éclat Mascara,65.15,534,472,64.04
POP100785,Sisley-Paris,Middle East,Dubai,Airport Duty-Free,Mall Kiosk,2025-02-20,2025-03-12,20,LE-5NSK7OKR,Sisley-Paris Satin Mascara,63.8,1674,1261,76.84
POP101629,Tom Ford Beauty,North America,New York,Department Store Atrium,Mall Kiosk,2025-02-24,2025-03-30,34,LE-6582YCV2,Tom Ford Beauty Velvet Mascara,36.65,681,3265,72.86
POP101521,Clé de Peau Beauté,Asia-Pacific,Shanghai,High-Street,Mobile Pop-Up Truck,2025-06-16,2025-08-02,47,LE-K8LU5RPJ,Clé de Peau Beauté Éclat Lipstick,60.58,1178,4093,95.88
POP100410,Chanel,North America,Toronto,Department Store Atrium,Standalone Pop-Up,2025-05-17,2025-08-02,77,LE-JXZTAB8W,Chanel Satin Foundation,92.97,1512,3830,100.0
POP100974,YSL Beauty,Middle East,Riyadh,Art/Design District,Mobile Pop-Up Truck,2024-05-25,2024-07-22,58,LE-Z69D6NXC,YSL Beauty Velvet Serum,195.83,1329,3334,99.82
POP101151,Clé de Peau Beauté,Latin America,Bogotá,High-Street,Mall Kiosk,2025-03-20,2025-06-11,83,LE-5H1THLY8,Clé de Peau Beauté Pearl Setting Powder,81.37,1503,1762,50.82
POP102104,MAC Cosmetics,North America,Los Angeles,Luxury Mall,Shop-in-Shop,2025-06-17,2025-06-28,11,LE-7S1JHTQI,MAC Cosmetics Rouge Foundation,97.8,897,3184,92.0
POP101785,Huda Beauty,Latin America,São Paulo,Luxury Mall,Shop-in-Shop,2025-01-29,2025-03-02,32,LE-MQQYHP5E,Huda Beauty Velvet Fragrance,158.02,1300,2288,57.75
POP100940,Tom Ford Beauty,Middle East,Doha,Airport Duty-Free,Mall Kiosk,2024-10-24,2024-10-28,4,LE-H32TZQX7,Tom Ford Beauty Velvet Blush,51.91,1045,2136,93.11
POP101845,Hourglass,North America,Los Angeles,High-Street,Flash Event,2024-12-30,2025-02-28,60,LE-DLD1G6Y9,Hourglass Noir Mascara,36.88,1769,2081,86.6
POP100817,Dior,Middle East,Dubai,High-Street,Shop-in-Shop,2024-10-20,2025-01-15,87,LE-PA3G9DQA,Dior Satin Fragrance,110.19,2362,2268,87.64
POP101793,Tom Ford Beauty,North America,Chicago,Airport Duty-Free,Mobile Pop-Up Truck,2024-03-13,2024-06-10,89,LE-Y1KDKHSW,Tom Ford Beauty Velvet Foundation,75.81,1906,2853,90.74
POP101393,Bobbi Brown,Asia-Pacific,Shanghai,Airport Duty-Free,Mall Kiosk,2024-11-19,2025-02-03,76,LE-CTX5FD5H,Bobbi Brown Velvet Primer,64.55,1295,3913,90.49
POP101868,Hourglass,North America,New York,Department Store Atrium,Standalone Pop-Up,2025-06-25,2025-08-07,43,LE-1MASM2F0,Hourglass Satin Foundation,106.84,1274,2144,51.53
POP100275,Sisley-Paris,Middle East,Abu Dhabi,Art/Design District,Mobile Pop-Up Truck,2024-12-21,2025-01-02,12,LE-QQS5MNEK,Sisley-Paris Lumière Fragrance,145.68,571,557,68.77
POP101640,Chanel,Europe,London,Art/Design District,Shop-in-Shop,2025-05-17,2025-07-13,57,LE-ZM0I59B9,Chanel Pearl Fragrance,381.82,1080,3849,78.14
POP101303,Charlotte Tilbury,Middle East,Jeddah,Department Store Atrium,Flash Event,2025-05-21,2025-06-11,21,LE-HGOLEFFN,Charlotte Tilbury Éclat Eyeshadow Palette,51.07,915,2802,78.64
POP100564,Huda Beauty,North America,Miami,High-Street,Shop-in-Shop,2024-07-10,2024-09-28,80,LE-MKKONVP8,Huda Beauty Pearl Eyeshadow Palette,60.88,1464,235,53.29
POP100120,Pat McGrath Labs,North America,Los Angeles,Airport Duty-Free,Mobile Pop-Up Truck,2025-03-09,2025-04-25,47,LE-Z0180RQ9,Pat McGrath Labs Glow Fragrance,323.57,1709,1676,82.85
POP101879,Givenchy Beauty,Asia-Pacific,Seoul,Airport Duty-Free,Shop-in-Shop,2025-01-08,2025-04-05,87,LE-1M45SZKT,Givenchy Beauty Satin Eyeshadow Palette,82.26,2198,1192,57.47
POP102086,Guerlain,Latin America,Buenos Aires,Department Store Atrium,Mobile Pop-Up Truck,2024-11-27,2025-02-22,87,LE-BH9CEPR8,Guerlain Noir Foundation,115.38,923,2019,76.33
