,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Brands""",,,,,"""Regions""",,,,,"""Products""",2133 records,,,,,"""Events""",2133 records,,,,,,,,,,,,
brand_id,brand,parent_company,,,region_id,region_name,,,,sku,product_name,category_id (FK),price_usd,,,event_id,brand_id (FK),location_id (FK),location_type_id (FK),event_type_id (FK),sku (FK),start_date,end_date,lease_length_days,avg_daily_footfall,units_sold,units_allocated,sell_through_pct,sales_conversion_rate
6,Skincare,,,,,,,,,LE-SQD56OOJ,Rare Beauty Satin Primer,2,66.23,,,POP101271,8,8,4,3,LE-SQD56OOJ,2024-06-03,2024-06-16,13,1234,2515,4102.773246,0.613,0.1568
,,,,,,,,,,LE-J9NIXMML,Rare Beauty Velvet Highlighter,2,85.35,,,POP101786,8,5,1,1,LE-J9NIXMML,2024-10-31,2024-12-25,55,1220,2725,3923.121221,0.6946,0.0406
,,,,,,,,,,LE-MF69APHM,Estée Lauder Opulence Eyeshadow Palette,1,105.04,,,POP101910,10,4,4,3,LE-MF69APHM,2024-03-31,2024-05-30,60,691,2296,4551.942902,0.5044,0.0554
,,,,,,,,,,LE-LI3U40B5,Huda Beauty Éclat Primer,2,65.07,,,POP101481,20,19,2,2,LE-LI3U40B5,2024-07-24,2024-10-19,87,1001,3761,4041.91295,0.9305,0.0432
"""Locations""",,,,,,,,,,LE-46F6IFBF,Sisley-Paris Éclat Serum,6,279.14,,,POP100306,16,20,4,4,LE-46F6IFBF,2025-07-18,2025-07-25,7,888,2551,4996.08304,0.5106,0.4104
location_id (FK),city,region_id,,,,,,,,LE-82NRN3EV,YSL Beauty Pearl Blush,2,41.05,,,POP100367,3,6,2,5,LE-82NRN3EV,2025-01-08,2025-01-14,6,785,2440,4123.71134,0.5917,0.518
1,Miami,1,,,,,,,,LE-TX6NH9N8,Valentino Beauty Satin Fragrance,2,236.65,,,POP100433,2,17,4,4,LE-TX6NH9N8,2025-01-01,2025-03-20,78,1466,2016,2814.070352,0.7164,0.0176
2,New York,1,,,,,,,,LE-UWU9ZFZE,MAC Cosmetics Glow Primer,4,59.63,,,POP100321,13,21,5,2,LE-UWU9ZFZE,2025-04-18,2025-07-14,87,852,1836,2223.029422,0.8259,0.0248
3,Berlin,2,,,,,,,,LE-4LTAVIV9,Charlotte Tilbury Lumière Serum,6,84.34,,,POP101333,1,16,2,5,LE-4LTAVIV9,2024-10-03,2024-11-10,38,1518,3254,3440.837475,0.9457,0.0564
4,Chicago,1,,,,,,,,LE-TBHTA4C9,Bobbi Brown Mirage Lipstick,3,37.48,,,POP100582,17,17,3,2,LE-TBHTA4C9,2025-06-15,2025-07-02,17,2426,2939,3971.084989,0.7401,0.0713
5,London,2,,,,,,,,LE-2S5MCAV9,Clé de Peau Beauté Noir Primer,2,37.99,,,POP101086,19,22,4,2,LE-2S5MCAV9,2024-09-19,,80,980,3427,4872.742784,0.7033,0.0437
6,Madrid,2,,,,,,,,LE-TG82GBN5,Bobbi Brown Rouge Blush,4,48.2,,,POP101674,17,4,4,3,LE-TG82GBN5,2024-02-27,2024-03-30,32,644,2547,3728.044496,0.6832,0.1236
7,Tokyo,3,,,,,,,,LE-C4LL95DQ,Guerlain Satin Mascara,1,61.69,,,POP100464,7,2,5,3,LE-C4LL95DQ,2024-06-14,2024-07-06,22,1725,1619,2428.014397,0.6668,0.0427
8,Toronto,1,,,,,,,,LE-T4BSKLWB,Shiseido Glow Mascara,1,73.49,,,POP100471,21,21,1,1,LE-T4BSKLWB,2024-02-23,2024-04-04,41,758,755,1051.971576,0.7177,0.0243
9,Buenos Aires,4,,,,,,,,LE-G1QJUSJQ,Bobbi Brown Mirage Fragrance,2,339.9,,,POP101672,17,16,4,3,LE-G1QJUSJQ,2024-10-10,2024-12-31,82,1715,1447,1878.001298,0.7705,0.0103
10,Seoul,3,,,,,,,,LE-LYCUJZ0Q,Tom Ford Beauty Lumière Setting Powder,5,67.78,,,POP101386,5,10,4,5,LE-LYCUJZ0Q,2025-05-15,2025-06-10,26,1712,1291,2268.892794,0.569,0.029
11,Riyadh,5,,,,,,,,LE-M5YZ6FCC,Armani Beauty Rouge Setting Powder,5,49.28,,,POP101175,11,1,1,2,LE-M5YZ6FCC,2024-08-21,2024-10-12,52,963,3316,4381.027877,0.7569,0.0662
12,Shanghai,3,,,,,,,,LE-867B2HS5,Clé de Peau Beauté Noir Setting Powder,5,79.23,,,POP101486,19,12,2,5,LE-867B2HS5,2025-03-20,2025-04-17,28,1057,3420,3465.045593,0.987,0.1156
13,Lima,4,,,,,,,,LE-NL8HLI8K,Pat McGrath Labs Satin Serum,6,174.7,,,POP100707,9,4,1,3,LE-NL8HLI8K,2024-04-06,2024-04-13,7,1324,2201,4314.840227,0.5101,0.2375
14,Milan,2,,,,,,,,LE-Z9EETNGP,Sisley-Paris Mirage Blush,4,47.63,,,POP100307,16,21,1,4,LE-Z9EETNGP,2024-07-16,2024-08-04,19,706,1752,2031.068862,0.8626,0.1306
15,São Paulo,4,,,,,,,,LE-1V3EXMI8,NARS Pearl Highlighter,4,79.94,,,POP100420,15,18,1,1,LE-1V3EXMI8,2025-01-28,2025-03-01,32,642,3251,3938.219261,0.8255,0.1582
16,Bogotá,4,,,,,,,,LE-09689UTH,Givenchy Beauty Pearl Setting Powder,5,83.14,,,POP101263,6,23,3,4,LE-09689UTH,2024-08-21,2024-08-26,5,2506,1919,3367.257414,0.5699,0.1532
17,Hong Kong,3,,,,,,,,LE-KGY5TZYQ,Estée Lauder Lumière Lipstick,3,66.87,,,POP100544,10,21,5,4,LE-KGY5TZYQ,2025-03-25,2025-06-12,79,1032,2865,4137.184116,0.6925,0.0351
18,Jeddah,5,,,,,,,,LE-V8ZQ4WY1,Bobbi Brown Rouge Primer,4,49.24,,,POP102099,17,19,4,2,LE-V8ZQ4WY1,2024-10-11,2024-11-28,48,1151,4340,4525.075592,0.9591,0.0786
19,Singapore,3,,,,,,,,LE-DQ9T86F0,Hermès Beauty Éclat Blush,2,42.73,,,POP101338,4,5,3,3,LE-DQ9T86F0,2024-03-11,2024-05-31,81,2521,1895,3846.934633,0.4926,0.0093
20,Doha,5,,,,,,,,LE-DGE3JZQT,Estée Lauder Lumière Fragrance,2,142.88,,,POP101531,10,24,3,1,LE-DGE3JZQT,2025-02-11,2025-04-09,57,1814,1359,1394.990762,0.9742,0.0131
21,Dubai,5,,,,,,,,LE-3FVZGCD4,Dior Glow Foundation,5,60.92,,,POP100135,18,12,4,4,LE-3FVZGCD4,2025-05-08,2025-07-26,79,1533,2680,4531.619885,0.5914,0.0221
22,Paris,2,,,,,,,,LE-VNQ5L8WX,Fenty Beauty Mirage Serum,2,86.35,,,POP101444,22,2,1,4,LE-VNQ5L8WX,2024-11-13,2024-11-18,5,939,844,844,1,0.1798
23,Mexico City,4,,,,,,,,LE-L39GKA0K,Shiseido Rouge Eyeshadow Palette,1,149,,,POP100985,21,20,5,4,LE-L39GKA0K,2024-05-31,2024-07-05,35,1340,1636,3432.647923,0.4766,0.0349
24,Abu Dhabi,5,,,,,,,,LE-NUABSBKG,Hourglass Noir Highlighter,4,74.37,,,POP100427,23,5,5,3,LE-NUABSBKG,2024-12-22,,57,1569,3706,4166.854059,0.8894,0.0414
25,Los Angeles,1,,,,,,,,LE-6FACGJUK,Huda Beauty Glow Mascara,1,39.88,,,POP101637,20,7,1,2,LE-6FACGJUK,2025-04-09,2025-05-17,38,1091,1301,1934.860202,0.6724,0.0314
,,,,,,,,,,LE-9IVYGOSS,Hourglass Éclat Highlighter,4,85.93,,,POP101442,23,2,3,4,LE-9IVYGOSS,2024-08-02,2024-09-03,32,904,2270,4924.078091,0.461,0.0785
,,,,,,,,,,LE-58LV9RJJ,Givenchy Beauty Lumière Fragrance,2,244.68,,,POP100128,6,21,5,5,LE-58LV9RJJ,2024-04-04,2024-04-27,23,1930,1863,1927.972679,0.9663,0.042
,,,,,,,,,,LE-CJCI7VK7,Sisley-Paris Velvet Eyeshadow Palette,1,50.23,,,POP100067,16,19,3,1,LE-CJCI7VK7,2024-11-12,2024-12-31,49,1270,680,1062.99828,0.6397,0.0109
,,,,,,,,,,LE-RA7QKJPL,Shiseido Satin Foundation,5,87.42,,,POP101555,21,12,2,4,LE-RA7QKJPL,2024-06-18,2024-07-02,14,1916,2079,4404.661017,0.472,0.0775
,,,,,,,,,,LE-ZJ6YDROQ,Hourglass Rouge Highlighter,4,72.16,,,POP100184,23,17,5,4,LE-ZJ6YDROQ,2025-07-09,2025-07-14,5,1241,1887,2554.141852,0.7388,0.3041
,,,,,,,,,,LE-7P2PT0SQ,MAC Cosmetics Mirage Lipstick,3,49.62,,,POP101320,13,22,5,2,LE-7P2PT0SQ,2024-10-26,2024-12-19,54,1587,1064,1247.069855,0.8532,0.0124
,,,,,,,,,,LE-CVALUD5B,Sisley-Paris Mirage Highlighter,4,61.24,,,POP100838,16,3,2,2,LE-CVALUD5B,2024-04-03,2024-06-28,86,781,846,1020.014468,0.8294,0.0126
,,,,,,,,,,LE-FAV2HAAB,Hourglass Éclat Mascara,1,45.29,,,POP101838,23,5,3,3,LE-FAV2HAAB,2024-03-10,2024-05-05,56,3069,2401,2785.059738,0.8621,0.014
,,,,,,,,,,LE-BP8L2C5V,Shiseido Glow Setting Powder,5,65.62,,,POP100029,21,24,4,4,LE-BP8L2C5V,2024-03-26,2024-05-25,60,1682,2054,3834.23558,0.5357,0.0204
,,,,,,,,,,LE-F99T66FO,Givenchy Beauty Pearl Eyeshadow Palette,1,67.48,,,POP101738,6,7,3,4,LE-F99T66FO,2024-10-24,2024-11-19,26,1456,1495,2255.92274,0.6627,0.0395
,,,,,,,,,,LE-K66LZOKT,Sisley-Paris Lumière Highlighter,4,56.24,,,POP100422,16,25,1,1,LE-K66LZOKT,2024-09-24,2024-10-26,32,797,3132,4314.049587,0.726,0.1228
,,,,,,,,,,LE-SCRG3H99,Pat McGrath Labs Velvet Eyeshadow Palette,1,67.1,,,POP100259,9,21,1,5,LE-SCRG3H99,2025-03-08,2025-03-23,15,875,2476,2911.913442,0.8503,0.1886
,,,,,,,,,,LE-PRN1GYBC,Pat McGrath Labs Lumière Eyeshadow Palette,1,129.51,,,POP102067,9,26,3,4,LE-PRN1GYBC,2024-03-25,2024-06-11,78,1180,1786,2259.043764,0.7906,0.0194
,,,,,,,,,,LE-ZEAKQ1NR,Tom Ford Beauty Opulence Lipstick,3,36.44,,,POP100764,5,16,3,3,LE-ZEAKQ1NR,2025-05-21,2025-06-10,20,2190,2767,3000.108425,0.9223,0.0632
,,,,,,,,,,LE-O8M1AZHM,Bobbi Brown Opulence Blush,4,53.08,,,POP100605,17,22,2,4,LE-O8M1AZHM,2024-12-24,2025-03-07,73,2307,2794,3538.052425,0.7897,0.0166
,,,,,,,,,,LE-T1CZAZW1,Chanel Éclat Blush,4,49.92,,,POP101874,14,8,3,1,LE-T1CZAZW1,2024-04-02,2024-07-01,90,2991,2552,3973.839925,0.6422,0.0095
,,,,,,,,,,LE-Q7EQP1Y9,Sisley-Paris Rouge Fragrance,2,314.89,,,POP100231,16,4,4,4,LE-Q7EQP1Y9,2024-03-10,2024-06-07,89,1613,1200,1419.950302,0.8451,0.0084
,,,,,,,,,,LE-G3X4NYMY,Hourglass Éclat Foundation,5,67.75,,,POP101431,23,26,4,5,LE-G3X4NYMY,2024-04-09,2024-04-25,16,743,3604,3892.008639,0.926,0.3032
,,,,,,,,,,LE-WAHH3W1W,Fenty Beauty Lumière Lipstick,3,75.85,,,POP100649,22,26,3,1,LE-WAHH3W1W,2025-04-05,2025-05-28,53,1971,896,937.0424597,0.9562,0.0086
,,,,,,,,,,LE-Q3DBT4JY,Valentino Beauty Lumière Eyeshadow Palette,1,85.1,,,POP101425,2,25,1,3,LE-Q3DBT4JY,2025-05-21,2025-05-25,4,835,3184,4534.966529,0.7021,0.9533
,,,,,,,,,,LE-RAXQV3JI,Bobbi Brown Noir Foundation,5,82.85,,,POP101613,17,4,2,1,LE-RAXQV3JI,2024-08-18,2024-10-15,58,1129,1715,2197.872613,0.7803,0.0262
,,,,,,,,,,LE-S1SXAHFL,YSL Beauty Opulence Blush,2,30.69,,,POP101055,3,4,5,4,LE-S1SXAHFL,2024-05-11,2024-06-18,38,831,2176,3306.990881,0.658,0.0689
,,,,,,,,,,LE-U0CARU64,YSL Beauty Pearl Primer,2,69.45,,,POP100051,3,18,2,1,LE-U0CARU64,2025-04-21,2025-06-27,67,1976,2324,2417.056682,0.9615,0.0176
,,,,,,,,,,LE-LQIT6XIM,Rare Beauty Rouge Blush,2,46.64,,,POP101692,8,30,5,1,LE-LQIT6XIM,2025-02-27,2025-03-21,22,923,3888,4420.190996,0.8796,0.1915
,,,,,,,,,,LE-7MTNHK5B,Valentino Beauty Lumière Highlighter,2,79.2,,,POP100426,2,22,1,5,LE-7MTNHK5B,2024-09-10,2024-10-10,30,647,4445,4806.964421,0.9247,0.229
,,,,,,,,,,LE-5DIP3IF3,Bobbi Brown Satin Foundation,5,57.88,,,POP100889,17,18,2,4,LE-5DIP3IF3,2024-04-18,2024-04-27,9,2194,792,1044.992743,0.7579,0.0401
,,,,,,,,,,LE-JNOMXIS6,Dior Mirage Foundation,5,117.59,,,POP100529,18,9,3,4,LE-JNOMXIS6,2024-02-29,2024-05-25,86,1110,868,1051.993698,0.8251,0.0091
,,,,,,,,,,LE-HZAKGO3T,Fenty Beauty Lumière Setting Powder,5,55.22,,,POP101839,22,16,4,2,LE-HZAKGO3T,2024-10-08,2024-10-20,12,1298,2986,3594.991572,0.8306,0.1917
,,,,,,,,,,LE-5R9IF0IE,Chanel Mirage Highlighter,4,35.17,,,POP100482,14,20,1,4,LE-5R9IF0IE,2024-07-27,2024-09-17,52,704,2926,4584.051386,0.6383,0.0799
,,,,,,,,,,LE-94HLKO76,Fenty Beauty Velvet Primer,2,47.53,,,POP100650,22,2,4,5,LE-94HLKO76,2024-10-18,2024-12-26,69,1655,3488,3685.155837,0.9465,0.0305
,,,,,,,,,,LE-YL5Z9JNG,Hermès Beauty Mirage Primer,2,62.25,,,POP101233,4,16,3,4,LE-YL5Z9JNG,2024-06-13,2024-07-25,42,2472,2238,2809.087486,0.7967,0.0216
,,,,,,,,,,LE-9I0TX3CX,MAC Cosmetics Noir Foundation,5,64.56,,,POP101087,13,17,3,2,LE-9I0TX3CX,2025-02-09,2025-03-28,47,1985,363,628.0276817,0.578,0.0039
,,,,,,,,,,LE-HHL2RAG5,YSL Beauty Lumière Fragrance,2,232.83,,,POP100324,3,18,4,3,LE-HHL2RAG5,2024-09-03,2024-09-22,19,940,382,888.9923202,0.4297,0.0214
,,,,,,,,,,LE-OLP581S7,Clé de Peau Beauté Mirage Mascara,1,36.8,,,POP100668,19,7,2,3,LE-OLP581S7,2025-06-07,,51,1887,314,747.9752263,0.4198,0.0033
,,,,,,,,,,LE-DVREC8A1,YSL Beauty Opulence Mascara,1,50.31,,,POP100611,3,10,2,4,LE-DVREC8A1,2025-02-22,2025-04-09,46,1564,1646,1956.961122,0.8411,0.0229
,,,,,,,,,,LE-6DYPA1LO,Hourglass Velvet Setting Powder,5,74.73,,,POP100409,23,18,4,4,LE-6DYPA1LO,2024-07-10,2024-08-13,34,1297,720,1277.955272,0.5634,0.0163
,,,,,,,,,,LE-OIOLAT92,Fenty Beauty Glow Eyeshadow Palette,1,71.83,,,POP101889,22,16,1,4,LE-OIOLAT92,2024-11-29,2025-02-27,90,466,1703,3302.948022,0.5156,0.0406
,,,,,,,,,,LE-17VW6S8B,Valentino Beauty Velvet Highlighter,2,81.46,,,POP100915,2,24,5,3,LE-17VW6S8B,2024-06-03,2024-07-12,39,672,441,477.0146025,0.9245,0.0168
,,,,,,,,,,LE-0SP0LUXE,Shiseido Opulence Blush,4,67.72,,,POP100756,21,7,2,3,LE-0SP0LUXE,2024-10-30,2024-12-28,59,1113,101,208.9799297,0.4833,0.0015
,,,,,,,,,,LE-0Z7E8ESO,YSL Beauty Satin Setting Powder,5,58.97,,,POP101982,3,20,5,3,LE-0Z7E8ESO,2025-03-29,2025-04-22,24,1130,1565,2288.011696,0.684,0.0577
,,,,,,,,,,LE-NC1GE53L,Armani Beauty Noir Fragrance,2,274.59,,,POP100485,11,1,1,5,LE-NC1GE53L,2024-08-24,2024-08-28,4,1102,1270,1291.963377,0.983,0.2881
,,,,,,,,,,LE-WOX779RR,La Prairie Éclat Foundation,5,104.76,,,POP100254,12,13,1,4,LE-WOX779RR,2025-02-04,2025-04-17,72,718,1777,2814.826548,0.6313,0.0344
,,,,,,,,,,LE-QOD7DUV7,Charlotte Tilbury Noir Highlighter,4,43.65,,,POP100530,1,4,5,5,LE-QOD7DUV7,2025-01-02,2025-03-02,59,900,1912,2069.936126,0.9237,0.036
,,,,,,,,,,LE-2VBOKYQI,Armani Beauty Velvet Blush,2,38.64,,,POP102012,11,13,2,4,LE-2VBOKYQI,2024-06-22,2024-07-30,38,1833,2946,3148.10857,0.9358,0.0423
,,,,,,,,,,LE-A6XS71ZV,Valentino Beauty Satin Blush,2,61.95,,,POP101331,2,25,2,2,LE-A6XS71ZV,2025-02-25,2025-05-03,67,870,2567,4619.398956,0.5557,0.044
,,,,,,,,,,LE-TIXM2CG5,MAC Cosmetics Velvet Serum,6,111.69,,,POP102015,13,22,2,2,LE-TIXM2CG5,2024-06-05,2024-06-17,12,1738,744,1185.090793,0.6278,0.0357
,,,,,,,,,,LE-7KIK30IW,Pat McGrath Labs Mirage Primer,4,52.46,,,POP100251,9,27,2,2,LE-7KIK30IW,2024-05-25,2024-06-26,32,2020,967,1052.001741,0.9192,0.015
,,,,,,,,,,LE-76JQQVW7,Huda Beauty Mirage Primer,2,65.48,,,POP101805,20,5,2,2,LE-76JQQVW7,2025-03-18,2025-05-28,71,2266,898,1145.992853,0.7836,0.0056
,,,,,,,,,,LE-N55VSLT5,Dior Éclat Lipstick,3,52.63,,,POP100408,18,3,2,1,LE-N55VSLT5,2025-04-23,2025-07-17,85,2126,3834,3834,1,0.0212
,,,,,,,,,,LE-ZOYAQIUB,Pat McGrath Labs Mirage Lipstick,3,55.78,,,POP100211,9,17,1,2,LE-ZOYAQIUB,2024-11-07,2024-12-31,54,807,1811,2486.954133,0.7282,0.0416
,,,,,,,,,,LE-26ZJG1FK,NARS Lumière Lipstick,3,36.29,,,POP100240,15,19,5,2,LE-26ZJG1FK,2024-03-24,2024-04-28,35,1860,338,444.9710374,0.7596,0.0052
,,,,,,,,,,LE-863PTTE9,Shiseido Velvet Fragrance,2,231.73,,,POP100100,21,3,4,5,LE-863PTTE9,2024-07-03,2024-08-21,49,1794,999,999,1,0.0114
,,,,,,,,,,LE-V566VABJ,Givenchy Beauty Éclat Mascara,1,65.15,,,POP101547,6,27,1,3,LE-V566VABJ,2024-04-29,2024-07-09,71,534,472,737.0393504,0.6404,0.0124
