event_id,parent_company,brand,region,city,location_type,event_type,start_date,end_date,lease_length_days,sku,product_name,price_usd,avg_daily_footfall,units_sold,units_allocated,,sell_through_pct,,,"event_id is the unique identifier for each row, hence the PK"
POP101263,LVMH,Givenchy Beauty,Middle East,Dubai,High-Street,Mall Kiosk,2024-08-21,2024-08-26,5,LE-09689UTH,Givenchy Beauty Pearl Setting Powder,83.14,2506,1919,3367,56.99,0.5699,,,
POP100544,Estée Lauder,Estée Lauder,Asia-Pacific,Singapore,Luxury Mall,Mall Kiosk,2025-03-25,2025-06-12,79,LE-KGY5TZYQ,Estée Lauder Lumière Lipstick,66.87,1032,2865,4137,69.25,0.6925,,,
POP102099,Estée Lauder Companies,Bobbi Brown,Asia-Pacific,Hong Kong,Department Store Atrium,Standalone Pop-Up,2024-10-11,2024-11-28,48,LE-V8ZQ4WY1,Bobbi Brown Rouge Primer,49.24,1151,4340,4525,95.91,0.9591,,,
POP101338,Hermès International,Hermès Beauty,Europe,London,High-Street,Shop-in-Shop,2024-03-11,2024-05-31,81,LE-DQ9T86F0,Hermès Beauty Éclat Blush,42.73,2521,1895,3847,49.26,0.4926,,,
POP101531,Estée Lauder,Estée Lauder,Europe,Paris,High-Street,Flash Event,2025-02-11,2025-04-09,57,LE-DGE3JZQT,Estée Lauder Lumière Fragrance,142.88,1814,1359,1395,97.42,0.9742,,,
POP100135,LVMH,Dior,Asia-Pacific,Shanghai,Department Store Atrium,Mall Kiosk,2025-05-08,2025-07-26,79,LE-3FVZGCD4,Dior Glow Foundation,60.92,1533,2680,4532,59.14,0.5914,,,
POP101444,LVMH,Fenty Beauty,North America,New York,Art/Design District,Mall Kiosk,2024-11-13,2024-11-18,5,LE-VNQ5L8WX,Fenty Beauty Mirage Serum,86.35,939,844,844,100,1,,,
POP100985,Shiseido Company Limited,Shiseido,Middle East,Jeddah,Luxury Mall,Mall Kiosk,2024-05-31,2024-07-05,35,LE-L39GKA0K,Shiseido Rouge Eyeshadow Palette,149,1340,1636,3433,47.66,0.4766,,,
POP100427,Unilever,Hourglass,Europe,London,Luxury Mall,Shop-in-Shop,2024-12-22,,57,LE-NUABSBKG,Hourglass Noir Highlighter,74.37,1569,3706,4167,88.94,0.8894,,,
POP101637,Private ,Huda Beauty,Asia-Pacific,Tokyo,Art/Design District,Standalone Pop-Up,2025-04-09,2025-05-17,38,LE-6FACGJUK,Huda Beauty Glow Mascara,39.88,1091,1301,1935,67.24,0.6724,,,
POP101442,Unilever,Hourglass,North America,New York,High-Street,Mall Kiosk,2024-08-02,2024-09-03,32,LE-9IVYGOSS,Hourglass Éclat Highlighter,85.93,904,2270,4924,46.1,0.461,,,
POP100128,LVMH,Givenchy Beauty,Asia-Pacific,Singapore,Luxury Mall,Mobile Pop-Up Truck,2024-04-04,2024-04-27,23,LE-58LV9RJJ,Givenchy Beauty Lumière Fragrance,244.68,1930,1863,1928,96.63,0.9663,,,
POP100067,Sisley,Sisley-Paris,Asia-Pacific,Hong Kong,High-Street,Flash Event,2024-11-12,2024-12-31,49,LE-CJCI7VK7,Sisley-Paris Velvet Eyeshadow Palette,50.23,1270,680,1063,63.97,0.6397,,,
POP101555,Shiseido Company Limited,Shiseido,Asia-Pacific,Shanghai,Airport Duty-Free,Mall Kiosk,2024-06-18,2024-07-02,14,LE-RA7QKJPL,Shiseido Satin Foundation,87.42,1916,2079,4405,47.2,0.472,,,
POP100184,Unilever,Hourglass,Latin America,São Paulo,Luxury Mall,Mall Kiosk,2025-07-09,2025-07-14,5,LE-ZJ6YDROQ,Hourglass Rouge Highlighter,72.16,1241,1887,2554,73.88,0.7388,,,
POP101320,Estée Lauder Companies,MAC Cosmetics,Middle East,Doha,Luxury Mall,Standalone Pop-Up,2024-10-26,2024-12-19,54,LE-7P2PT0SQ,MAC Cosmetics Mirage Lipstick,49.62,1587,1064,1247,85.32,0.8532,,,
POP100838,Sisley,Sisley-Paris,Europe,Berlin,Airport Duty-Free,Standalone Pop-Up,2024-04-03,2024-06-28,86,LE-CVALUD5B,Sisley-Paris Mirage Highlighter,61.24,781,846,1020,82.94,0.8294,,,
POP101838,Unilever,Hourglass,Europe,London,High-Street,Shop-in-Shop,2024-03-10,2024-05-05,56,LE-FAV2HAAB,Hourglass Éclat Mascara,45.29,3069,2401,2785,86.21,0.8621,,,
POP100029,Shiseido Company Limited,Shiseido,Europe,Paris,Department Store Atrium,Mall Kiosk,2024-03-26,2024-05-25,60,LE-BP8L2C5V,Shiseido Glow Setting Powder,65.62,1682,2054,3834,53.57,0.5357,,,
POP101738,LVMH,Givenchy Beauty,Asia-Pacific,Tokyo,High-Street,Mall Kiosk,2024-10-24,2024-11-19,26,LE-F99T66FO,Givenchy Beauty Pearl Eyeshadow Palette,67.48,1456,1495,2256,66.27,0.6627,,,
POP100422,Sisley,Sisley-Paris,Latin America,Mexico City,Art/Design District,Flash Event,2024-09-24,2024-10-26,32,LE-K66LZOKT,Sisley-Paris Lumière Highlighter,56.24,797,3132,4314,72.6,0.726,,,
POP100259,Private ,Pat McGrath Labs,Asia-Pacific,Singapore,Art/Design District,Mobile Pop-Up Truck,2025-03-08,2025-03-23,15,LE-SCRG3H99,Pat McGrath Labs Velvet Eyeshadow Palette,67.1,875,2476,2912,85.03,0.8503,,,
POP102067,Private ,Pat McGrath Labs,Middle East,Abu Dhabi,High-Street,Mall Kiosk,2024-03-25,2024-06-11,78,LE-PRN1GYBC,Pat McGrath Labs Lumière Eyeshadow Palette,129.51,1180,1786,2259,79.06,0.7906,,,
POP100764,Estée Lauder Companies,Tom Ford Beauty,Europe,Milan,High-Street,Shop-in-Shop,2025-05-21,2025-06-10,20,LE-ZEAKQ1NR,Tom Ford Beauty Opulence Lipstick,36.44,2190,2767,3000,92.23,0.9223,,,
POP100605,Estée Lauder Companies,Bobbi Brown,Middle East,Doha,Airport Duty-Free,Mall Kiosk,2024-12-24,2025-03-07,73,LE-O8M1AZHM,Bobbi Brown Opulence Blush,53.08,2307,2794,3538,78.97,0.7897,,,
POP101874,Chanel Limited,Chanel,North America,Toronto,High-Street,Flash Event,2024-04-02,2024-07-01,90,LE-T1CZAZW1,Chanel Éclat Blush,49.92,2991,2552,3974,64.22,0.6422,,,
POP100231,Sisley,Sisley-Paris,North America,Chicago,Department Store Atrium,Mall Kiosk,2024-03-10,2024-06-07,89,LE-Q7EQP1Y9,Sisley-Paris Rouge Fragrance,314.89,1613,1200,1420,84.51,0.8451,,,
POP101431,Unilever,Hourglass,Middle East,Abu Dhabi,Department Store Atrium,Mobile Pop-Up Truck,2024-04-09,2024-04-25,16,LE-G3X4NYMY,Hourglass Éclat Foundation,67.75,743,3604,3892,92.6,0.926,,,
POP100649,LVMH,Fenty Beauty,Middle East,Abu Dhabi,High-Street,Flash Event,2025-04-05,2025-05-28,53,LE-WAHH3W1W,Fenty Beauty Lumière Lipstick,75.85,1971,896,937,95.62,0.9562,,,
POP101425,L’Oréal Group,Valentino Beauty,Latin America,Mexico City,Art/Design District,Shop-in-Shop,2025-05-21,2025-05-25,4,LE-Q3DBT4JY,Valentino Beauty Lumière Eyeshadow Palette,85.1,835,3184,4535,70.21,0.7021,,,
POP101613,Estée Lauder Companies,Bobbi Brown,North America,Chicago,Airport Duty-Free,Flash Event,2024-08-18,2024-10-15,58,LE-RAXQV3JI,Bobbi Brown Noir Foundation,82.85,1129,1715,2198,78.03,0.7803,,,
POP101055,L’Oréal Group,YSL Beauty,North America,Chicago,Luxury Mall,Mall Kiosk,2024-05-11,2024-06-18,38,LE-S1SXAHFL,YSL Beauty Opulence Blush,30.69,831,2176,3307,65.8,0.658,,,
POP100051,L’Oréal Group,YSL Beauty,Latin America,Bogotá,Airport Duty-Free,Flash Event,2025-04-21,2025-06-27,67,LE-U0CARU64,YSL Beauty Pearl Primer,69.45,1976,2324,2417,96.15,0.9615,,,
POP101692,Private ,Rare Beauty,Europe,,Luxury Mall,Flash Event,2025-02-27,2025-03-21,22,LE-LQIT6XIM,Rare Beauty Rouge Blush,46.64,923,3888,4420,87.96,0.8796,,,
POP100426,L’Oréal Group,Valentino Beauty,Middle East,Doha,Art/Design District,Mobile Pop-Up Truck,2024-09-10,2024-10-10,30,LE-7MTNHK5B,Valentino Beauty Lumière Highlighter,79.2,647,4445,4807,92.47,0.9247,,,
POP100889,Estée Lauder Companies,Bobbi Brown,Latin America,Bogotá,Airport Duty-Free,Mall Kiosk,2024-04-18,2024-04-27,9,LE-5DIP3IF3,Bobbi Brown Satin Foundation,57.88,2194,792,1045,75.79,0.7579,,,
POP100529,LVMH,Dior,Latin America,Buenos Aires,High-Street,Mall Kiosk,2024-02-29,2024-05-25,86,LE-JNOMXIS6,Dior Mirage Foundation,117.59,1110,868,1052,82.51,0.8251,,,
POP101839,LVMH,Fenty Beauty,Europe,Milan,Department Store Atrium,Standalone Pop-Up,2024-10-08,2024-10-20,12,LE-HZAKGO3T,Fenty Beauty Lumière Setting Powder,55.22,1298,2986,3595,83.06,0.8306,,,
POP100482,Chanel Limited,Chanel,Middle East,Jeddah,Art/Design District,Mall Kiosk,2024-07-27,2024-09-17,52,LE-5R9IF0IE,Chanel Mirage Highlighter,35.17,704,2926,4584,63.83,0.6383,,,
POP100650,LVMH,Fenty Beauty,North America,New York,Department Store Atrium,Mobile Pop-Up Truck,2024-10-18,2024-12-26,69,LE-94HLKO76,Fenty Beauty Velvet Primer,47.53,1655,3488,3685,94.65,0.9465,,,
POP101233,Hermès International,Hermès Beauty,Europe,Milan,High-Street,Mall Kiosk,2024-06-13,2024-07-25,42,LE-YL5Z9JNG,Hermès Beauty Mirage Primer,62.25,2472,2238,2809,79.67,0.7967,,,
POP101087,Estée Lauder Companies,MAC Cosmetics,Latin America,São Paulo,High-Street,Standalone Pop-Up,2025-02-09,2025-03-28,47,LE-9I0TX3CX,MAC Cosmetics Noir Foundation,64.56,1985,363,628,57.8,0.578,,,
POP100324,L’Oréal Group,YSL Beauty,Latin America,Bogotá,Department Store Atrium,Shop-in-Shop,2024-09-03,2024-09-22,19,LE-HHL2RAG5,YSL Beauty Lumière Fragrance,232.83,940,382,889,42.97,0.4297,,,
POP100668,Shiseido Company Limited,Clé de Peau Beauté,Asia-Pacific,Tokyo,Airport Duty-Free,Shop-in-Shop,2025-06-07,,51,LE-OLP581S7,Clé de Peau Beauté Mirage Mascara,36.8,1887,314,748,41.98,0.4198,,,
POP100611,L’Oréal Group,YSL Beauty,Asia-Pacific,Seoul,Airport Duty-Free,Mall Kiosk,2025-02-22,2025-04-09,46,LE-DVREC8A1,YSL Beauty Opulence Mascara,50.31,1564,1646,1957,84.11,0.8411,,,
POP100409,Unilever,Hourglass,Latin America,Bogotá,Department Store Atrium,Mall Kiosk,2024-07-10,2024-08-13,34,LE-6DYPA1LO,Hourglass Velvet Setting Powder,74.73,1297,720,1278,56.34,0.5634,,,
POP101889,LVMH,Fenty Beauty,Europe,Milan,Art/Design District,Mall Kiosk,2024-11-29,2025-02-27,90,LE-OIOLAT92,Fenty Beauty Glow Eyeshadow Palette,71.83,466,1703,3303,51.56,0.5156,,,
POP100915,L’Oréal Group,Valentino Beauty,Europe,Paris,Luxury Mall,Shop-in-Shop,2024-06-03,2024-07-12,39,LE-17VW6S8B,Valentino Beauty Velvet Highlighter,81.46,672,441,477,92.45,0.9245,,,
POP100756,Shiseido Company Limited,Shiseido,Asia-Pacific,Tokyo,Airport Duty-Free,Shop-in-Shop,2024-10-30,2024-12-28,59,LE-0SP0LUXE,Shiseido Opulence Blush,67.72,1113,101,209,48.33,0.4833,,,
POP101982,L’Oréal Group,YSL Beauty,Middle East,Jeddah,Luxury Mall,Shop-in-Shop,2025-03-29,2025-04-22,24,LE-0Z7E8ESO,YSL Beauty Satin Setting Powder,58.97,1130,1565,2288,68.4,0.684,,,
POP100485,L’Oréal Group,Armani Beauty,North America,Miami,Art/Design District,Mobile Pop-Up Truck,2024-08-24,2024-08-28,4,LE-NC1GE53L,Armani Beauty Noir Fragrance,274.59,1102,1270,1292,98.3,0.983,,,
POP100254,Beiersdorf,La Prairie,Latin America,Lima,Art/Design District,Mall Kiosk,2025-02-04,2025-04-17,72,LE-WOX779RR,La Prairie Éclat Foundation,104.76,718,1777,2815,63.13,0.6313,,,
POP100530,Puig,Charlotte Tilbury,North America,Chicago,Luxury Mall,Mobile Pop-Up Truck,2025-01-02,2025-03-02,59,LE-QOD7DUV7,Charlotte Tilbury Noir Highlighter,43.65,900,1912,2070,92.37,0.9237,,,
POP102012,L’Oréal Group,Armani Beauty,Latin America,Lima,Airport Duty-Free,Mall Kiosk,2024-06-22,2024-07-30,38,LE-2VBOKYQI,Armani Beauty Velvet Blush,38.64,1833,2946,3148,93.58,0.9358,,,
POP101331,L’Oréal Group,Valentino Beauty,Latin America,Mexico City,Airport Duty-Free,Standalone Pop-Up,2025-02-25,2025-05-03,67,LE-A6XS71ZV,Valentino Beauty Satin Blush,61.95,870,2567,4619,55.57,0.5557,,,
POP102015,Estée Lauder Companies,MAC Cosmetics,Middle East,Doha,Airport Duty-Free,Standalone Pop-Up,2024-06-05,2024-06-17,12,LE-TIXM2CG5,MAC Cosmetics Velvet Serum,111.69,1738,744,1185,62.78,0.6278,,,
POP100251,Private ,Pat McGrath Labs,North America,Los Angeles,Airport Duty-Free,Standalone Pop-Up,2024-05-25,2024-06-26,32,LE-7KIK30IW,Pat McGrath Labs Mirage Primer,52.46,2020,967,1052,91.92,0.9192,,,
POP101805,Private ,Huda Beauty,Europe,London,Airport Duty-Free,Standalone Pop-Up,2025-03-18,2025-05-28,71,LE-76JQQVW7,Huda Beauty Mirage Primer,65.48,2266,898,1146,78.36,0.7836,,,
POP100408,LVMH,Dior,Europe,Berlin,Airport Duty-Free,Flash Event,2025-04-23,2025-07-17,85,LE-N55VSLT5,Dior Éclat Lipstick,52.63,2126,3834,3834,100,1,,,
POP100211,Private ,Pat McGrath Labs,Latin America,São Paulo,Art/Design District,Standalone Pop-Up,2024-11-07,2024-12-31,54,LE-ZOYAQIUB,Pat McGrath Labs Mirage Lipstick,55.78,807,1811,2487,72.82,0.7282,,,
POP100240,Estée Lauder Companies,NARS,Asia-Pacific,Hong Kong,Luxury Mall,Standalone Pop-Up,2024-03-24,2024-04-28,35,LE-26ZJG1FK,NARS Lumière Lipstick,36.29,1860,338,445,75.96,0.7596,,,
POP100100,Shiseido Company Limited,Shiseido,Europe,Berlin,Department Store Atrium,Mobile Pop-Up Truck,2024-07-03,2024-08-21,49,LE-863PTTE9,Shiseido Velvet Fragrance,231.73,1794,999,999,100,1,,,
